# etalon position (steps)	motor position (mm)	wavenumber (cm-1)	wavenumber error (cm-1)	power (watts)
6.2000000000e+03	7.9011510527e+00	2.9905747375e+03	2.3241495074e-04	9.5166539900e-01
6.2000000000e+03	8.3314756505e+00	3.0341304230e+03	1.4950498918e-04	1.0767311750e+00
6.2000000000e+03	8.8021354065e+00	3.0782259825e+03	2.2837264324e-04	1.0803795450e+00
6.2050000000e+03	7.4152578972e+00	2.9473072465e+03	3.9081568832e-04	9.2475335050e-01
6.2050000000e+03	7.9147530427e+00	2.9909327755e+03	3.1419769717e-04	8.9918878700e-01
6.2050000000e+03	8.3391019552e+00	3.0349028220e+03	2.4792597670e-04	9.6915248050e-01
6.2050000000e+03	8.8117491910e+00	3.0782256100e+03	2.0698028513e-04	1.1608556500e+00
6.2100000000e+03	7.4203088867e+00	2.9473963400e+03	4.4013077093e-04	9.1765256750e-01
6.2100000000e+03	7.9123933784e+00	2.9912564305e+03	1.9777651057e-04	9.2529893950e-01
6.2100000000e+03	8.3407302271e+00	3.0347582965e+03	2.2006538547e-04	9.8908606400e-01
6.2100000000e+03	8.8127883730e+00	3.0782068195e+03	2.8951516664e-04	9.4349263050e-01
6.2150000000e+03	7.4252605752e+00	2.9484214975e+03	4.8828125000e-04	1.0049105940e+00
6.2150000000e+03	7.9201360686e+00	2.9918131195e+03	2.7969822357e-04	9.6422125400e-01
6.2150000000e+03	8.3399027903e+00	3.0356032015e+03	1.4314012939e-04	1.0529550000e+00
6.2150000000e+03	8.8213168445e+00	3.0782941405e+03	3.2007105962e-04	9.1733301000e-01
6.2200000000e+03	7.4355196733e+00	2.9493923965e+03	4.1620427542e-04	9.8375787600e-01
6.2200000000e+03	7.9281526534e+00	2.9928719880e+03	3.0821243098e-04	9.4318909000e-01
6.2200000000e+03	8.3526900982e+00	3.0369166710e+03	4.7474210163e-04	1.2194116400e+00
6.2200000000e+03	8.8315374001e+00	3.0800550190e+03	1.7263349150e-04	1.0505308500e+00
6.2250000000e+03	7.4397431398e+00	2.9499492735e+03	3.1121945273e-04	1.0199621470e+00
6.2250000000e+03	7.9326034271e+00	2.9932855035e+03	2.8951516664e-04	8.9193512600e-01
6.2250000000e+03	8.3521725891e+00	3.0370418840e+03	2.4792597670e-04	1.1735890400e+00
6.2250000000e+03	8.8321697907e+00	3.0800546760e+03	3.1121945273e-04	1.0752697850e+00
6.2300000000e+03	7.4431112713e+00	2.9501288170e+03	2.6952395222e-04	1.0432579900e+00
6.2300000000e+03	7.9367553656e+00	2.9932854870e+03	2.4414062500e-04	9.6829253100e-01
6.2300000000e+03	8.3524534916e+00	3.0368962690e+03	1.8310546875e-04	1.1629378350e+00
6.2300000000e+03	8.8313617594e+00	3.0800550785e+03	2.2006538547e-04	1.0874630850e+00
6.2350000000e+03	7.4458532588e+00	2.9505418410e+03	3.5850037001e-04	9.5622526800e-01
6.2350000000e+03	7.9404307879e+00	2.9937870090e+03	3.6108885395e-04	8.5952636350e-01
6.2350000000e+03	8.3531320873e+00	3.0370210095e+03	1.9301011109e-04	1.0290162350e+00
6.2350000000e+03	8.8358880020e+00	3.0803238615e+03	2.4792597670e-04	9.4371961500e-01
6.2400000000e+03	7.4501420993e+00	2.9500726415e+03	2.7969822357e-04	9.8728126100e-01
6.2400000000e+03	7.9453046057e+00	2.9943451390e+03	2.3638814369e-04	9.0829581300e-01
6.2400000000e+03	8.3553127827e+00	3.0370210175e+03	2.2425748378e-04	1.0205686050e+00
6.2400000000e+03	8.8403499081e+00	3.0803239635e+03	2.7969822357e-04	9.7307653250e-01
6.2450000000e+03	7.4498469937e+00	2.9505408145e+03	3.5850037001e-04	9.2843586550e-01
6.2450000000e+03	7.9486080344e+00	2.9940532155e+03	8.4494505245e-02	9.7634156700e-01
